CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"316870 Timóteo";1;9;16;4;27;34;26;9;-;8;4;40;4;26;-;1;-;10;11;230
"316880 Tiradentes";-;-;1;-;1;2;2;1;-;2;1;2;-;1;-;-;-;-;-;13
"316890 Tiros";-;-;3;-;3;4;1;-;-;1;1;5;-;2;-;-;-;-;-;20
"316900 Tocantins";-;-;3;-;3;5;8;2;-;-;-;13;-;3;-;-;-;-;2;39
"316905 Tocos do Moji";-;-;-;-;-;2;-;-;-;2;-;3;-;-;-;-;-;-;-;7
"316910 Toledo";-;1;2;-;3;3;1;1;1;2;-;1;1;2;1;1;-;1;-;21
"316920 Tombos";1;2;2;1;6;8;5;1;1;1;1;9;1;2;-;-;-;1;4;46
"316930 Três Corações";4;7;24;5;29;47;34;10;5;4;7;89;4;26;-;-;-;22;3;320
"316935 Três Marias";2;-;5;2;6;13;-;1;1;2;1;11;4;5;-;-;-;-;2;55
"316940 Três Pontas";3;4;22;7;29;31;23;5;3;1;7;62;3;21;-;3;-;12;10;246
"316950 Tumiritinga";-;-;1;-;1;3;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"316960 Tupaciguara";1;5;3;2;9;9;2;3;3;2;3;10;-;4;2;-;-;3;10;71
"316970 Turmalina";-;-;4;1;5;13;2;1;-;4;1;7;-;2;-;-;-;-;1;41
"316980 Turvolândia";-;-;4;-;-;3;-;-;-;2;-;3;-;1;-;-;-;-;-;13
"316990 Ubá";8;11;32;49;80;75;37;11;1;2;11;42;3;21;1;3;-;10;8;405
"317000 Ubaí";-;-;-;-;-;5;-;-;-;3;-;4;-;-;-;-;-;-;-;12
"317005 Ubaporanga";-;1;1;-;1;5;1;-;-;2;-;2;-;-;-;-;-;-;-;13
"317010 Uberaba";32;60;47;50;251;310;118;36;35;39;30;197;51;146;11;27;2;340;158;1940
"317020 Uberlândia";72;165;75;84;394;346;238;35;115;35;60;705;125;189;12;41;-;625;91;3407
"317030 Umburatiba";-;-;-;-;1;3;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"317040 Unaí";6;6;15;10;20;28;15;4;1;5;2;20;3;8;2;2;-;15;8;170
"317043 União de Minas";-;-;2;3;4;5;-;-;-;-;1;4;-;-;-;-;-;-;1;20
"317047 Uruana de Minas";-;-;1;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"317050 Urucânia";-;-;1;-;1;6;1;-;-;2;1;4;-;-;-;-;-;-;-;16
"317052 Urucuia";1;1;1;1;2;6;1;1;-;-;-;3;-;1;-;1;-;-;-;19
"317057 Vargem Alegre";-;2;1;-;-;5;2;-;-;-;-;2;-;-;-;-;-;-;-;12
"317060 Vargem Bonita";-;-;1;-;1;2;1;-;-;1;-;2;-;-;-;-;-;-;-;8
"317065 Vargem Grande do Rio Pardo";-;-;-;-;1;3;1;-;-;-;-;2;-;1;-;-;-;-;-;8
"317070 Varginha";27;10;42;13;135;91;48;12;3;4;11;95;6;49;1;3;-;49;16;615
"317075 Varjão de Minas";-;-;2;-;-;2;2;-;-;-;-;2;-;-;1;-;-;-;-;9
"317080 Várzea da Palma";2;2;4;2;6;18;4;1;-;4;3;13;-;2;-;-;-;1;4;66
"317090 Varzelândia";-;1;5;-;2;12;2;-;-;4;1;7;-;2;-;-;-;-;-;36
"317100 Vazante";1;2;4;1;3;11;3;-;-;3;3;8;-;1;-;-;-;1;2;43
"317103 Verdelândia";-;-;1;-;-;3;2;1;-;2;1;3;-;1;-;-;-;-;-;14
"317107 Veredinha";-;-;1;-;-;2;2;-;-;1;-;3;-;-;-;-;-;-;-;9
"317110 Veríssimo";-;1;2;-;1;5;-;-;-;-;-;4;-;-;-;-;-;-;1;14
"317115 Vermelho Novo";-;-;1;-;1;3;2;1;-;-;1;3;-;-;-;-;-;-;-;12
"317120 Vespasiano";1;2;8;4;27;22;10;5;1;5;1;45;5;9;1;-;-;12;3;161
"317130 Viçosa";5;4;22;17;35;38;33;3;1;9;20;90;6;27;1;3;-;17;8;339
"317140 Vieiras";-;-;-;-;-;3;-;-;-;1;1;3;-;-;-;-;-;-;-;8
"317160 Virgem da Lapa";1;-;6;-;1;6;4;-;-;1;1;2;-;3;-;-;-;-;-;25
"317170 Virgínia";-;1;2;1;-;8;1;-;-;2;1;5;-;1;-;-;-;-;-;22
"317180 Virginópolis";1;-;2;1;1;6;-;-;-;1;-;8;-;1;-;-;-;-;-;21
"317190 Virgolândia";-;-;3;-;1;3;1;-;-;-;-;2;-;-;-;-;-;-;-;10
"317200 Visconde do Rio Branco";2;3;3;8;15;10;15;2;-;1;3;21;-;7;-;-;-;5;1;96
"317210 Volta Grande";-;-;1;-;-;6;3;-;-;2;-;2;-;-;-;-;-;1;1;16
"317220 Wenceslau Braz";-;-;1;-;-;1;-;-;-;-;-;3;-;1;-;-;-;-;-;6
"320010 Afonso Cláudio";1;3;4;9;4;14;6;3;1;-;2;12;-;3;1;1;-;10;3;77
"320016 Água Doce do Norte";-;1;1;-;2;5;1;-;1;3;-;3;1;1;-;-;-;1;-;20
"320013 Águia Branca";-;-;2;1;2;6;1;-;1;1;-;3;1;-;-;-;-;2;1;21
"320020 Alegre";2;3;10;5;6;19;8;2;1;3;2;18;1;5;3;2;-;10;1;101
"320030 Alfredo Chaves";-;1;3;-;4;7;2;1;-;1;-;13;1;2;-;-;-;3;1;39
"320035 Alto Rio Novo";-;-;2;-;2;9;1;-;-;-;-;4;-;-;-;-;-;-;-;18
"320040 Anchieta";14;5;5;-;22;28;20;8;1;9;3;31;3;6;1;4;-;12;6;178
"320050 Apiacá";-;2;2;-;7;4;2;1;1;3;1;6;1;1;-;1;-;3;2;37
"320060 Aracruz";2;6;12;6;37;35;17;13;7;12;7;67;11;16;1;2;-;45;6;302
"320070 Atilio Vivacqua";-;-;2;-;5;9;4;-;-;1;1;11;1;1;1;-;-;2;-;38
"320080 Baixo Guandu";6;2;8;2;8;19;10;2;2;4;3;17;5;4;1;-;-;4;6;103
"320090 Barra de São Francisco";2;2;10;12;19;14;17;2;3;-;4;37;2;8;-;3;-;12;-;147
"320100 Boa Esperança";4;1;4;2;5;6;3;-;-;3;-;7;-;1;1;-;-;2;-;39
"320110 Bom Jesus do Norte";-;2;3;-;6;7;6;-;-;2;1;2;2;1;1;-;-;2;3;38
"320115 Brejetuba";-;2;3;-;2;9;2;1;1;1;-;8;-;1;-;-;-;2;-;32
"320120 Cachoeiro de Itapemirim";25;17;29;53;123;125;50;20;24;9;17;113;29;17;12;20;-;132;10;825
"320130 Cariacica";20;46;40;41;199;139;48;25;51;4;20;130;57;33;26;12;-;198;33;1122
"320140 Castelo";1;6;7;10;9;19;7;2;-;1;5;37;-;4;-;-;-;4;1;113
"320150 Colatina";19;6;25;38;67;84;42;19;12;10;14;112;32;22;2;7;-;101;11;623
"320160 Conceição da Barra";2;2;3;4;9;14;3;3;-;2;1;12;1;2;-;-;-;2;2;62
"320170 Conceição do Castelo";-;-;4;2;4;4;2;-;-;2;3;7;-;1;-;1;-;3;-;33
"320180 Divino de São Lourenço";-;-;2;-;-;8;1;-;-;1;2;2;-;1;-;-;-;1;-;18
"320190 Domingos Martins";3;4;7;4;13;13;4;1;1;2;3;15;5;7;-;2;-;6;2;92
"320200 Dores do Rio Preto";-;1;1;-;2;4;1;-;-;-;-;7;-;-;-;-;-;2;-;18
"320210 Ecoporanga";5;1;4;1;1;9;6;2;-;2;4;13;-;3;1;-;-;1;1;54
"320220 Fundão";-;1;2;-;7;8;6;1;1;2;1;4;-;1;-;1;-;3;1;39
"320225 Governador Lindenberg";-;-;7;-;5;7;3;-;-;2;-;7;-;-;-;-;-;-;-;31
"320230 Guaçuí";2;2;8;6;10;17;15;1;-;3;5;29;-;7;1;-;-;12;4;122
"320240 Guarapari";1;5;13;6;18;36;27;6;5;5;1;43;9;5;1;2;-;32;10;225
"320245 Ibatiba";1;-;8;-;9;12;6;2;-;1;1;18;-;4;-;-;-;2;1;65
"320250 Ibiraçu";-;1;3;-;4;7;2;1;-;1;-;4;-;2;-;-;-;1;-;26
"320255 Ibitirama";-;-;1;-;3;5;1;1;-;1;-;2;-;1;-;-;-;1;-;16
"320260 Iconha";2;1;4;1;3;6;3;-;1;2;2;10;-;1;-;-;-;1;2;39
"320265 Irupi";-;1;2;1;3;6;2;-;-;1;1;10;-;1;-;-;-;-;-;28
"320270 Itaguaçu";1;1;5;3;4;8;4;1;-;2;1;6;1;2;-;-;-;3;-;42
"320280 Itapemirim";2;1;4;2;15;19;11;1;-;3;2;14;-;2;-;-;-;2;1;79
"320290 Itarana";-;1;1;4;2;5;3;-;-;5;1;10;1;1;-;-;-;1;1;36
"320300 Iúna";1;2;6;-;6;19;5;3;-;1;2;15;-;6;1;-;-;2;6;75
"320305 Jaguaré";1;4;8;3;5;9;4;-;1;2;4;12;-;5;-;1;-;2;-;61
"320310 Jerônimo Monteiro";-;-;1;1;10;10;3;-;-;1;2;7;-;1;-;-;-;-;-;36
"320313 João Neiva";2;2;5;3;8;11;6;1;-;-;1;10;1;1;-;-;-;4;1;56
"320316 Laranja da Terra";-;-;2;-;4;7;2;-;-;-;-;5;-;1;-;-;-;-;-;21
"320320 Linhares";9;15;16;22;92;96;21;9;12;11;6;67;11;17;1;9;-;53;9;476
"320330 Mantenópolis";-;-;5;2;1;8;5;-;-;-;1;7;-;2;-;-;-;-;-;31
"320332 Marataízes";-;1;5;-;6;18;4;2;-;3;1;12;-;1;-;-;-;3;1;57
"320334 Marechal Floriano";-;1;4;-;5;8;6;1;-;3;1;8;-;1;-;-;-;3;-;41
"320335 Marilândia";-;-;2;-;2;4;3;-;-;-;1;10;-;-;-;-;-;-;-;22
"320340 Mimoso do Sul";2;2;5;-;3;24;7;3;-;5;1;19;1;3;-;-;-;3;1;79
"320350 Montanha";3;-;1;10;2;16;8;1;-;2;1;12;1;2;-;1;-;3;1;64
"320360 Mucurici";-;1;2;-;3;7;-;-;-;-;1;3;1;-;-;-;-;-;-;18
"320370 Muniz Freire";4;4;4;-;1;15;3;2;-;2;3;12;-;1;-;-;-;1;3;55
"320380 Muqui";2;2;1;-;2;12;5;-;-;2;-;10;-;1;-;-;-;1;-;38
"320390 Nova Venécia";11;2;11;3;5;22;6;2;3;1;1;30;2;4;-;1;-;5;2;111
"320400 Pancas";-;-;6;6;-;11;1;-;-;5;1;8;-;1;-;2;-;-;-;41
"320405 Pedro Canário";2;-;5;7;4;18;5;-;-;1;-;6;-;3;-;2;-;4;3;60
"320410 Pinheiros";-;-;6;3;7;12;4;-;1;-;-;10;1;1;-;-;-;3;1;49
"320420 Piúma";1;1;2;-;2;7;3;1;-;3;-;6;-;1;1;-;-;3;1;32
"320425 Ponto Belo";-;1;1;-;1;6;3;-;-;2;1;2;-;1;-;-;-;1;-;19
"320430 Presidente Kennedy";-;1;4;-;5;15;6;1;-;1;2;6;-;-;-;-;-;1;1;43
"320435 Rio Bananal";1;-;3;4;-;4;4;-;-;1;-;15;-;2;-;-;-;-;-;34
"320440 Rio Novo do Sul";-;-;-;-;1;5;1;-;-;1;-;6;-;2;-;-;-;-;-;16
"320450 Santa Leopoldina";1;-;4;1;3;6;1;-;-;3;-;1;-;-;-;-;-;-;1;21
"320455 Santa Maria de Jetibá";1;2;9;4;10;19;2;2;-;5;2;17;1;4;-;1;-;6;2;87
"320460 Santa Teresa";1;2;5;1;9;22;4;1;1;6;2;20;-;7;-;-;-;11;3;95
"320465 São Domingos do Norte";-;2;3;-;-;7;1;-;-;1;-;2;-;-;-;-;-;-;1;17
"320470 São Gabriel da Palha";2;1;9;3;3;15;4;2;-;1;2;20;-;2;-;1;-;2;3;70
"320480 São José do Calçado";6;3;4;5;13;15;7;1;4;2;3;15;6;2;-;-;-;15;2;103
"320490 São Mateus";4;8;17;13;28;31;12;5;5;2;4;40;11;10;-;6;-;30;7;233
"320495 São Roque do Canaã";-;-;2;-;4;4;4;-;-;2;2;5;-;-;-;-;-;1;-;24
"320500 Serra";55;69;20;56;141;185;78;26;75;28;9;204;91;49;8;33;-;279;16;1422
"320501 Sooretama";-;2;3;-;6;10;2;-;-;2;-;5;-;1;-;-;-;1;-;32
"320503 Vargem Alta";-;2;3;-;7;13;2;-;-;8;1;7;-;-;-;-;-;1;-;44
"320506 Venda Nova do Imigrante";1;3;9;18;4;10;8;1;-;1;2;20;-;6;-;1;-;4;1;89
"320510 Viana";-;6;2;1;25;38;3;-;1;5;1;25;1;6;-;-;-;1;1;116
"320515 Vila Pavão";-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;5
"320517 Vila Valério";-;2;5;-;1;4;2;-;-;1;-;2;-;1;-;-;-;-;1;19
"320520 Vila Velha";47;72;48;80;317;172;172;38;49;19;30;336;86;79;6;28;1;292;25;1897
"320530 Vitória";77;118;182;93;296;518;188;55;89;56;62;522;144;139;24;62;2;755;55;3437
"330010 Angra dos Reis";16;34;22;18;144;157;55;19;35;25;18;165;48;30;7;12;1;116;17;939
"330015 Aperibé";2;2;3;3;7;9;10;1;1;2;1;8;1;4;1;1;-;3;1;60
"330020 Araruama";14;21;16;16;56;141;64;18;19;5;21;39;20;26;3;11;1;81;13;585
"330022 Areal";-;1;2;2;8;10;10;2;1;-;2;15;1;4;1;1;-;4;3;67
"330023 Armação dos Búzios";5;2;1;5;20;13;19;4;8;7;6;16;9;6;4;5;-;30;8;168
"330025 Arraial do Cabo";-;1;6;2;4;14;12;2;4;5;2;11;2;3;1;1;-;10;2;82
"330030 Barra do Piraí";5;5;10;20;65;37;35;14;11;3;6;66;12;32;3;10;-;70;16;420
"330040 Barra Mansa";24;14;9;27;129;139;57;32;27;17;10;139;33;64;3;24;-;162;33;943
"330045 Belford Roxo";10;44;28;23;163;142;49;14;36;26;20;100;95;48;7;12;2;107;39;965
"330050 Bom Jardim";3;2;5;10;7;14;12;2;2;5;2;18;7;6;1;2;-;10;3;111
"330060 Bom Jesus do Itabapoana";6;12;9;6;39;24;32;5;5;2;5;42;10;16;5;6;-;16;2;242
"330070 Cabo Frio";23;7;9;18;153;98;55;14;24;25;7;67;35;24;10;11;1;101;15;697
"330080 Cachoeiras de Macacu";4;10;11;9;49;28;22;7;7;7;8;34;6;17;3;4;-;26;7;259
"330090 Cambuci";1;2;4;4;10;11;4;1;-;-;1;9;-;2;-;-;-;5;1;55
"330100 Campos dos Goytacazes";47;183;72;73;324;468;266;49;94;-;36;473;137;149;11;46;1;348;69;2846
"330110 Cantagalo";1;4;1;6;9;13;7;6;1;6;4;21;1;7;1;1;-;9;6;104
"330093 Carapebus";-;2;2;1;8;19;7;3;3;1;3;23;3;8;2;1;-;13;2;101
"330115 Cardoso Moreira";-;1;1;-;2;9;6;1;-;2;1;3;-;1;1;1;-;3;1;33
"330120 Carmo";2;5;5;4;14;17;6;1;2;2;1;12;5;4;1;1;-;18;4;104
"330130 Casimiro de Abreu";3;9;5;4;28;47;30;4;13;3;8;24;11;10;2;-;1;13;9;224
"330095 Comendador Levy Gasparian";-;2;3;1;3;10;4;2;1;2;1;9;4;2;3;1;-;5;3;56
"330140 Conceição de Macabu";1;4;2;2;7;11;9;-;1;1;1;9;2;5;1;-;-;1;5;62
"330150 Cordeiro";1;1;3;1;9;13;8;2;-;3;4;13;-;6;1;1;-;4;2;72
"330160 Duas Barras";1;-;1;1;10;8;6;1;-;1;1;15;-;1;-;1;-;4;2;53
"330170 Duque de Caxias";110;108;63;106;458;455;159;89;220;36;88;272;406;90;43;71;-;680;75;3529
"330180 Engenheiro Paulo de Frontin";-;2;1;1;13;12;12;4;2;2;2;17;1;4;3;-;-;4;4;84
"330185 Guapimirim";2;3;2;2;12;18;7;2;5;2;2;6;4;4;2;1;-;12;5;91
"330187 Iguaba Grande";-;1;-;-;7;9;9;-;-;2;-;6;1;3;-;1;-;-;1;40
"330190 Itaboraí";14;40;25;32;144;146;69;19;20;29;31;60;30;54;12;18;-;131;37;911
"330200 Itaguaí";17;11;8;19;103;55;68;33;24;1;5;53;52;23;4;10;1;70;11;568
"330205 Italva";1;3;3;2;5;9;6;1;-;2;2;7;2;2;-;1;-;5;4;55
"330210 Itaocara";1;2;5;2;17;18;10;3;-;2;2;20;-;5;-;-;-;4;2;93
"330220 Itaperuna";10;11;8;30;36;43;69;13;8;10;8;64;6;20;2;5;-;87;10;440
"330225 Itatiaia";4;3;3;5;26;27;17;2;9;2;3;25;10;9;3;-;-;13;11;172
"330227 Japeri";3;7;7;3;37;42;16;3;9;1;7;20;8;18;2;1;-;20;10;214
"330230 Laje do Muriaé";-;1;2;2;5;4;3;1;-;2;1;3;-;-;-;-;-;2;-;26
"330240 Macaé";16;46;24;27;160;134;148;39;34;21;33;257;60;47;10;16;-;193;41;1306
"330245 Macuco";-;-;-;-;3;4;-;-;-;1;2;5;-;1;-;-;-;1;1;18
"330250 Magé";11;10;7;9;73;83;43;9;16;36;12;77;14;14;9;3;2;68;25;521
"330260 Mangaratiba";4;6;3;4;37;27;33;5;2;5;6;30;6;14;1;2;-;15;9;209
"330270 Maricá";6;5;3;16;53;39;33;9;11;10;13;34;18;13;1;9;-;47;16;336
"330280 Mendes";2;3;3;2;9;13;9;2;-;4;-;21;5;4;-;1;-;5;5;88
"330285 Mesquita";-;7;2;1;44;42;15;6;13;12;5;24;20;9;2;7;1;34;10;254
"330290 Miguel Pereira";1;3;4;2;25;19;9;4;4;5;2;14;4;9;-;3;-;15;9;132
"330300 Miracema";3;5;4;12;11;12;3;2;1;3;1;13;1;3;1;3;-;11;-;89
"330310 Natividade";1;5;5;4;1;11;7;5;-;2;2;12;4;2;1;1;-;6;5;74
"330320 Nilópolis";20;15;11;17;60;101;25;2;34;14;9;59;63;14;1;9;-;99;16;569
"330330 Niterói";122;149;122;130;502;635;318;129;189;97;161;471;207;270;77;120;10;1264;179;5152
"330340 Nova Friburgo";23;18;12;22;159;49;54;21;26;12;8;115;33;43;11;18;-;125;15;764
"330350 Nova Iguaçu";56;43;32;55;248;367;152;34;134;33;32;185;155;72;9;54;7;406;64;2138
"330360 Paracambi";9;19;8;11;49;37;29;2;-;2;5;16;4;37;11;1;-;9;17;266
"330370 Paraíba do Sul";13;6;13;11;17;52;29;7;2;11;5;29;4;12;2;10;-;50;9;282
"330380 Paraty";2;5;6;2;16;19;2;1;1;15;1;11;7;4;4;2;-;9;3;110
"330385 Paty do Alferes";-;1;1;-;3;12;7;3;-;2;-;17;-;3;-;-;-;6;3;58
"330390 Petrópolis";29;18;24;66;280;152;100;36;68;41;23;148;61;75;22;29;-;267;30;1469
"330395 Pinheiral";-;3;2;2;14;18;20;2;4;6;8;14;2;9;2;-;-;11;7;124
"330400 Piraí";4;3;2;1;19;32;15;2;5;12;5;26;3;6;-;2;-;10;6;153
"330410 Porciúncula";-;5;7;3;6;19;15;2;1;3;4;16;1;4;1;-;-;3;4;94
"330411 Porto Real";4;6;4;3;6;17;8;2;5;4;3;31;6;8;-;1;-;10;5;123
"330412 Quatis";2;1;2;1;8;10;5;1;-;2;2;8;-;7;1;1;-;5;3;59
"330414 Queimados";2;1;5;6;34;51;12;6;5;4;-;28;6;17;2;3;-;24;8;214
"330415 Quissamã";4;5;3;-;16;34;14;1;3;4;6;9;6;6;1;-;-;4;5;121
"330420 Resende";9;14;12;17;69;70;70;19;9;8;10;115;16;44;3;11;-;88;14;598
"330430 Rio Bonito";4;16;6;14;33;41;26;13;7;8;6;51;7;33;2;2;-;28;14;311
"330440 Rio Claro";-;3;3;2;9;13;5;4;-;7;2;13;-;3;1;-;-;-;4;69
"330450 Rio das Flores";1;-;2;1;11;5;6;1;2;2;-;10;1;-;-;-;-;1;2;45
"330452 Rio das Ostras";9;13;5;5;43;46;33;10;6;5;14;54;8;15;1;8;-;35;5;315
"330455 Rio de Janeiro";1097;1142;1047;1032;3828;7127;1614;533;1267;223;1112;2437;1666;1089;457;862;69;8088;888;35578
"330460 Santa Maria Madalena";-;1;3;2;7;10;5;-;-;-;2;7;-;1;-;-;-;-;1;39
"330470 Santo Antônio de Pádua";6;7;10;3;14;19;8;1;1;4;4;19;1;6;-;1;-;11;4;119
"330480 São Fidélis";1;7;1;1;18;9;7;1;-;-;3;13;-;3;1;1;-;3;3;72
"330475 São Francisco de Itabapoana";-;3;2;1;7;14;17;-;1;1;1;17;2;2;1;-;-;1;2;72
"330490 São Gonçalo";20;68;64;52;231;334;164;52;34;108;60;244;69;105;8;25;1;221;41;1901
"330500 São João da Barra";-;1;4;-;15;19;1;-;-;1;3;16;5;4;-;-;-;-;1;70
"330510 São João de Meriti";6;14;18;12;97;132;65;17;8;38;18;73;29;36;3;8;-;83;26;683
"330513 São José de Ubá";-;1;1;-;4;3;4;1;-;1;-;6;-;1;-;-;-;1;2;25
"330515 São José do Vale do Rio Preto";2;-;2;1;10;7;13;3;2;3;2;18;3;2;-;1;-;5;2;76
"330520 São Pedro da Aldeia";-;1;2;2;10;17;11;-;4;7;1;28;3;1;-;1;-;6;6;100
"330530 São Sebastião do Alto";-;-;3;-;5;5;2;1;-;-;1;5;-;-;-;-;-;1;1;24
"330540 Sapucaia";-;-;2;-;4;10;4;1;1;5;1;9;1;3;1;1;-;6;1;50
"330550 Saquarema";-;3;3;2;16;19;13;6;2;6;7;21;3;9;-;-;-;5;-;115
"330555 Seropédica";-;4;6;1;19;24;25;10;5;8;3;27;2;5;2;-;-;5;6;152
"330560 Silva Jardim";-;2;2;-;9;13;15;-;-;4;1;6;1;8;-;-;1;-;3;65
"330570 Sumidouro";-;2;1;1;3;13;5;2;-;3;-;13;-;3;1;2;-;2;3;54
"330575 Tanguá";-;3;1;-;1;9;1;1;-;4;-;7;1;1;2;-;-;1;6;38
"330580 Teresópolis";6;13;8;26;95;71;58;7;27;15;8;68;29;17;5;14;2;124;21;614
"330590 Trajano de Moraes";1;-;1;-;3;8;6;-;-;1;1;10;-;1;-;-;-;2;2;36
"330600 Três Rios";3;11;17;9;42;61;41;7;9;8;6;56;11;22;7;1;-;30;10;351
"330610 Valença";5;11;11;32;59;42;47;9;2;3;5;86;12;17;1;2;-;27;12;383
"330615 Varre-Sai";-;-;1;-;2;6;3;-;-;-;-;7;-;-;-;-;-;-;1;20
"330620 Vassouras";1;5;7;2;17;48;20;4;3;8;5;39;4;12;2;2;-;40;9;228
"330630 Volta Redonda";19;26;16;18;189;203;97;23;34;44;16;160;45;81;7;20;1;196;38;1233
"350010 Adamantina";3;4;8;15;25;37;21;4;1;-;7;26;-;10;2;4;-;12;11;190
"350020 Adolfo";-;-;1;1;2;2;3;3;-;-;-;2;-;2;-;-;-;1;1;18
"350030 Aguaí";2;2;5;6;14;7;8;4;-;-;2;11;-;8;-;5;-;10;3;87
"350040 Águas da Prata";-;1;2;1;3;3;1;-;-;-;-;9;-;1;1;1;-;5;1;29
"350050 Águas de Lindóia";4;3;5;11;12;8;8;4;-;1;1;11;1;5;3;1;-;10;2;90
"350055 Águas de Santa Bárbara";-;1;1;-;7;4;3;1;-;-;-;5;-;1;-;-;-;1;-;24
"350060 Águas de São Pedro";-;-;1;-;10;2;2;2;-;-;-;2;1;2;-;1;-;4;2;29
"350070 Agudos";2;5;4;7;19;20;19;4;-;1;3;27;5;5;3;2;-;20;14;160
"350075 Alambari";-;-;-;1;1;4;1;-;1;-;1;4;-;1;-;-;-;1;-;15
"350080 Alfredo Marcondes";-;1;1;-;-;2;2;-;-;2;-;3;1;1;-;-;-;1;-;14
"350090 Altair";-;-;1;-;2;3;2;1;-;1;-;2;1;1;-;2;-;1;-;17
"350100 Altinópolis";4;2;3;-;24;18;8;4;2;3;2;23;7;9;2;1;-;11;6;129
"350110 Alto Alegre";1;-;1;1;3;2;1;-;-;-;-;5;-;-;-;1;-;1;2;18
"350115 Alumínio";-;-;1;-;18;9;2;2;2;-;-;12;1;3;1;1;-;5;-;57
"350120 Álvares Florence";-;-;-;1;1;2;1;1;-;-;-;2;-;1;-;-;-;1;-;10
"350130 Álvares Machado";6;4;4;24;32;13;9;4;1;-;-;11;5;7;1;-;-;5;2;128
"350140 Álvaro de Carvalho";-;6;-;-;1;4;-;1;-;1;-;3;-;3;-;-;-;-;-;19
"350150 Alvinlândia";-;-;-;-;-;1;1;-;-;1;-;1;-;1;-;-;-;-;-;5
"350160 Americana";28;20;22;31;119;134;67;36;46;4;15;194;61;64;20;19;-;198;65;1143
"350170 Américo Brasiliense";7;6;10;10;25;47;10;4;4;-;7;11;3;6;-;4;-;31;4;189
"350180 Américo de Campos";-;-;3;-;1;3;2;1;-;-;-;4;-;1;-;-;-;-;-;15
"350190 Amparo";4;8;16;10;89;75;29;8;2;11;11;78;4;28;23;6;-;43;17;462
"350200 Analândia";-;-;1;-;9;1;1;-;-;-;-;4;1;-;-;1;-;-;-;18
"350210 Andradina";8;8;9;18;43;52;39;6;1;2;11;28;-;24;5;7;-;27;15;303
"350220 Angatuba";2;1;4;3;11;8;3;1;-;1;1;8;1;3;1;1;-;1;2;52
"350230 Anhembi";-;1;2;-;5;5;1;1;1;1;1;7;1;1;-;-;-;1;-;28
"350240 Anhumas";-;-;1;-;2;2;2;-;-;2;-;2;-;1;-;-;-;1;-;13
"350250 Aparecida";6;2;6;22;15;20;6;4;-;5;1;17;4;4;1;6;-;10;4;133
"350260 Aparecida d'Oeste";1;-;1;2;-;5;1;-;-;-;-;3;1;-;-;-;-;-;1;15
"350270 Apiaí";2;1;6;2;13;19;5;1;4;3;1;15;5;3;1;1;-;3;5;90
"350275 Araçariguama";-;3;1;-;14;9;4;1;-;-;-;6;3;1;1;-;-;7;3;53
"350280 Araçatuba";109;26;47;23;92;150;50;44;19;14;20;219;8;74;9;17;-;104;36;1061
"350290 Araçoiaba da Serra";-;-;1;1;12;7;2;1;1;1;-;6;1;2;1;2;-;7;2;47
"350300 Aramina";-;-;2;-;-;3;2;1;2;-;-;7;3;1;-;-;-;3;-;24
"350310 Arandu";2;1;1;2;5;5;2;-;-;-;1;5;-;1;-;-;-;3;2;30
"350315 Arapeí";-;-;1;-;6;3;1;1;-;1;-;4;1;1;-;-;-;-;-;19
"350320 Araraquara";22;31;60;28;93;164;102;42;20;10;15;321;15;85;13;11;-;177;48;1257
"350330 Araras";19;15;13;21;87;84;52;16;9;11;7;127;8;33;10;7;-;71;21;611
"350335 Arco-Íris";-;-;1;-;-;2;2;-;-;-;1;2;-;1;-;-;-;1;-;10
"350340 Arealva";1;2;2;2;6;5;2;3;-;-;-;5;-;2;2;-;-;2;-;34
"350350 Areias";-;1;-;-;4;1;1;1;-;-;1;3;1;1;-;-;-;-;1;15
"350360 Areiópolis";-;2;1;-;2;4;1;1;-;2;-;14;-;1;-;1;-;3;1;33
"350370 Ariranha";1;1;1;3;2;4;6;2;-;-;-;8;1;4;-;2;-;2;6;43
"350380 Artur Nogueira";1;5;6;-;14;26;8;3;3;6;2;24;12;6;3;2;-;25;8;154
"350390 Arujá";5;3;2;5;23;45;17;3;17;-;-;28;15;4;2;5;1;21;5;201
"350395 Aspásia";-;-;1;-;1;2;1;-;-;-;-;2;-;1;-;-;-;-;-;8
"350400 Assis";20;20;22;76;103;120;39;15;3;6;11;57;4;43;7;10;-;108;28;692
"350410 Atibaia";13;7;28;26;78;85;44;26;17;4;11;186;36;56;6;13;-;121;15;772
